feature_key,supernode_class,layer,n_prompts,n_active_prompts,n_prompt_types,n_peak_distinct,K_sem_distinct,H_sem_entropy,n_F,n_S,share_F,conf_S,conf_F,U_cv,G_group_cv,act_max_mean,act_max_std,act_mean_mean,sparsity_mean,sparsity_median,sparsity_min,sparsity_max,sparsity_std,peak_idx_mean,peak_idx_std,peak_idx_cv,peak_idx_mode,peak_idx_min,peak_idx_max,func_vs_sem_pct,U_q20_layer,H_q70_layer
0_1861,Semantic,0,5,3,3,3,3,1.3709505944503406,0,5,0.0,1.0,0.0,2.38582243863561,0.9622421654655189,33.06464309692383,30.18401127957008,4.343055123223198,0.8686164723161732,0.8679496506950471,0.8378997662534727,0.9,0.031055486570799897,5.0,3.521363372331802,0.7042726743255058,1,1,10,-100.0,0.5791674404340291,1.2351541663307193
0_230,Semantic,0,5,5,3,1,0,0.0,5,0,1.0,0.0,1.0,147.68056368660598,0.6798754267680801,44.396402740478514,2.6458074688757636,4.313789052811879,0.9034428255112953,0.9,0.8838807942231441,0.9444444444444444,0.023975659477213824,10.0,2.5298221281347035,0.2529822127881721,9,8,15,100.0,0.5791674404340291,1.2351541663307193
0_32742,Semantic,0,5,3,3,3,3,1.3709505944503406,0,5,0.0,1.0,0.0,1.8448105554085434,0.9615926756180138,30.757916259765626,28.097214211767174,4.3278376007080075,0.8599458639336518,0.8505320813668551,0.8293055104341003,0.8999999999999999,0.03627522833018376,5.0,3.521363372331802,0.7042726743255058,1,1,10,-100.0,0.5791674404340291,1.2351541663307193
0_37567,Semantic,0,5,1,3,3,3,1.3709505944503406,0,5,0.0,1.0,0.0,0.45472402115295973,1.1785113009981785,8.221224212646485,18.383216197744726,0.5872303009033203,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,,3.6,5.2,1.4444444440432098,1,1,14,-100.0,0.5791674404340291,1.2351541663307193
0_39374,Semantic,0,5,5,3,1,0,0.0,5,0,1.0,0.0,1.0,0.16760989321237152,0.9825040743100317,16.437504768371582,5.236319618711461,1.6779688853309267,0.9012378436955022,0.9,0.8728558851441782,0.9444444444444444,0.02658903495020238,10.0,2.5298221281347035,0.2529822127881721,9,8,15,100.0,0.5791674404340291,1.2351541663307193
0_40780,Semantic,0,5,5,3,3,1,-1.4428232973175175e-12,4,1,0.8,1.0,0.0,0.44774737842411366,1.102983581328121,52.66603164672851,4.147771392193686,20.174485677991594,0.6208162810893343,0.6378297332560423,0.5189797702818713,0.7075786581086487,0.06872739794738886,8.8,3.3105890714493698,0.3762033035310416,6,6,15,-10.969900144953764,0.5791674404340291,1.2351541663307193
0_40936,Semantic,0,5,2,3,3,2,0.9182958340516041,2,3,0.4,0.0,1.0,2.962046436635107,0.8757358553475283,31.391830444335938,43.01385686375386,2.5912466261121962,0.9166666666666667,0.9166666666666667,0.888888888888889,0.9444444444444444,0.03928371006591924,3.8,3.6551333764994136,0.9618772040888254,1,1,10,100.0,0.5791674404340291,1.2351541663307193
0_49560,Semantic,0,5,5,3,1,0,0.0,5,0,1.0,0.0,1.0,1.076941117558306,0.9447421289975736,48.05696182250976,4.426815160354703,4.87148313370962,0.8992599889523543,0.8999999999999999,0.8629666114284383,0.9444444444444444,0.029442737726975435,10.4,2.4979991993593593,0.2401922306845353,9,8,15,100.0,0.5791674404340291,1.2351541663307193
0_5200,Semantic,0,5,5,3,1,0,0.0,5,0,1.0,0.0,1.0,1.0804156804165266,0.7845404909093538,39.13553695678711,6.335494416002157,3.9051748475574315,0.8995799591298667,0.8999999999999999,0.8645664623160007,0.9444444444444444,0.028954355688044824,10.0,2.5298221281347035,0.2529822127881721,9,8,15,100.0,0.5791674404340291,1.2351541663307193
0_55815,Semantic,0,5,2,3,3,3,1.5219280948830343,0,5,0.0,1.0,0.0,1.2366531444299587,0.883467897189823,22.28516540527344,30.549326664781468,1.834419886271159,0.9166666666666667,0.9166666666666667,0.888888888888889,0.9444444444444444,0.03928371006591924,4.8,6.209669878504008,1.293681224418818,1,1,17,-100.0,0.5791674404340291,1.2351541663307193
0_91045,Semantic,0,5,5,3,1,0,0.0,5,0,1.0,0.0,1.0,1.3567227464845477,0.9979240038174401,49.783260345458984,8.195427075591194,4.976943967304533,0.9005429328193708,0.8999999999999999,0.8693813307635213,0.9444444444444444,0.027544484283064285,10.4,2.4979991993593593,0.2401922306845353,9,8,15,100.0,0.5791674404340291,1.2351541663307193
0_95057,Semantic,0,5,5,3,1,0,0.0,5,0,1.0,0.0,1.0,4.694723349648723,1.20485269620619,43.86207809448243,2.7206293818853133,13.599585012102883,0.6889999512409181,0.6643218064209181,0.6273940100602924,0.7609216278975872,0.055194468949195837,2.0,0.0,0.0,2,2,2,100.0,0.5791674404340291,1.2351541663307193
12_87969,"Say ""X""",12,5,3,3,3,1,-1.4428232973175175e-12,3,2,0.6,0.0,1.0,3.3759480756229,1.0028432637255171,10.508681488037109,12.63817008574895,1.380055697002108,0.8872110133605163,0.8888888888888888,0.8441727226212316,0.9285714285714286,0.04222436312407198,7.6,5.953150426454887,0.783309266535734,1,1,16,100.0,3.3759480756229,-1.4428232973175175e-12
16_89970,Semantic,16,5,3,3,3,3,1.3709505944503406,0,5,0.0,1.0,0.0,1.4973101160547715,0.8545635734328403,8.932355308532715,9.181615721568422,1.0672871335347494,0.8842779962701522,0.9,0.8528339888104568,0.9,0.027231309256883683,5.0,3.521363372331802,0.7042726743255058,1,1,10,-100.0,1.4973101160547715,1.3709505944503406
16_98048,"Say ""X""",16,5,2,3,3,2,0.9182958340516041,2,3,0.4,0.0,1.0,3.2178367865988324,0.3713067319773636,6.574916839599611,11.250771143338847,0.8194847106933594,0.8847578677512722,0.8847578677512722,0.8685721761780255,0.9009435593245188,0.022890024539273284,5.2,5.6000000000000005,1.0769230767159763,1,1,15,100.00000000000001,1.4973101160547715,1.3709505944503406
17_1822,"Say ""X""",17,5,2,3,5,3,1.584962500716828,2,3,0.4,0.0,1.0,1.6638569418822575,0.47220057298290485,3.5715234756469725,6.643921593447203,0.3911274104648167,0.8944444444444444,0.8944444444444444,0.8888888888888888,0.9,0.007856742013183912,3.6,3.1999999999999997,0.8888888886419752,1,1,8,100.0,1.224911159989142,1.584962500716828
17_98126,"Say ""X""",17,5,2,3,4,2,0.9182958340516041,2,3,0.4,0.0,1.0,1.224911159989142,0.8609258126359322,8.165108489990235,11.18205328790376,1.1627305560641819,0.8576486460608641,0.8576486460608641,0.8536543666376291,0.861642925484099,0.005648764132246709,5.4,5.953150426454887,1.1024352639541577,1,1,16,100.0,1.224911159989142,1.584962500716828
18_3623,"Say ""X""",18,5,1,3,4,3,1.499999999995672,1,4,0.2,0.0,1.0,1.9999999999999991,0.3928371006591931,2.9818099975585937,6.667529850529498,0.3313122219509549,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,,2.4,2.8,1.1666666661805556,1,1,8,100.0,1.370047621122858,1.9219280948815916
18_56027,Semantic,18,5,1,3,4,4,1.9219280948815916,0,5,0.0,1.0,0.0,1.9999999999999991,0.39283710065919314,6.935765075683594,15.508842185197489,0.6935765075683593,0.9,0.9,0.9,0.9,,2.8,3.6000000000000005,1.2857142852551022,1,1,10,-100.0,1.370047621122858,1.9219280948815916
18_61980,"Say ""X""",18,5,2,3,5,3,1.584962500716828,2,3,0.4,0.0,1.0,1.370047621122858,0.5734648848734663,9.221170234680176,14.124617935495738,0.9932401890224881,0.8944444444444444,0.8944444444444444,0.8888888888888888,0.9,0.007856742013183912,3.6,3.1999999999999997,0.8888888886419752,1,1,8,100.0,1.370047621122858,1.9219280948815916
19_13946,"Say ""X""",19,5,2,3,4,2,0.9182958340516041,2,3,0.4,0.0,1.0,1.2629401413743209,1.013342263684431,22.371691131591795,31.58905168002417,2.317722267574734,0.89517401510958,0.89517401510958,0.888888888888889,0.901459141330271,0.008888510742528038,5.4,5.953150426454887,1.1024352639541577,1,1,16,100.0,1.2629401413743209,0.9182958340516041
19_54790,"Say ""X""",19,5,2,3,3,2,0.9182958340516041,2,3,0.4,0.0,1.0,1.7238927504077783,0.3513218260064028,10.13148365020752,19.527124612504455,1.0602267053392198,0.9166666666666667,0.9166666666666667,0.888888888888889,0.9444444444444444,0.03928371006591924,5.2,5.6000000000000005,1.0769230767159763,1,1,15,100.0,1.2629401413743209,0.9182958340516041
1_12928,Relationship,1,5,5,3,3,3,1.3709505944503406,0,5,0.0,1.0,0.0,1.2323872911202485,0.9670011031516366,109.68309478759765,5.881359420521538,79.90677068437849,0.2682105302170171,0.2314309450221265,0.1950010219366075,0.4143667836462297,0.0870170001819153,1.0,0.0,0.0,1,1,1,-100.0,0.3725738279061564,1.9219280948815916
1_52044,Relationship,1,5,5,3,4,4,1.9219280948815916,0,5,0.0,1.0,0.0,2.103463084556535,0.8649337090041649,110.65822906494141,12.331686399288795,78.54219820900569,0.2874930764278153,0.2937508504476877,0.2114313324393026,0.347657433978786,0.052634365243681515,9.4,5.276362383309167,0.5613151471008353,4,4,17,-100.0,0.3725738279061564,1.9219280948815916
1_57794,Relationship,1,5,5,3,3,3,1.3709505944503406,0,5,0.0,1.0,0.0,0.38950000928245826,0.9936740664765092,117.67907409667968,5.340865847060102,82.1249105362665,0.2995238764796403,0.2828578229532038,0.2345092729886299,0.4138676946757048,0.0748863363365614,1.0,0.0,0.0,1,1,1,-100.0,0.3725738279061564,1.9219280948815916
1_72774,Relationship,1,5,5,3,4,4,1.9219280948815916,0,5,0.0,1.0,0.0,1.4743898092411183,1.0342650824515554,95.29293518066406,16.684784733971636,70.39382136753628,0.2556650717264884,0.2500568642246941,0.1899809171899991,0.3197059288860138,0.05429336380860344,6.2,3.919183588453085,0.6321263851324126,4,4,14,-100.0,0.3725738279061564,1.9219280948815916
1_89326,Semantic,1,5,1,3,4,4,1.9219280948815916,0,5,0.0,1.0,0.0,0.30486910240094905,0.3928371003892069,13.943379211425782,31.178343752805464,1.3943379211425782,0.9,0.9,0.9,0.9,,2.8,3.6000000000000005,1.2857142852551022,1,1,10,-100.0,0.3725738279061564,1.9219280948815916
20_44686,Semantic,20,5,3,3,5,4,1.9999999999942293,1,4,0.2,0.0,1.0,1.891962985587506,0.8025659347862195,21.94457588195801,24.018394216335277,3.8129348754882812,0.8389204461252703,0.8329051714076581,0.7838561669681529,0.9,0.0583051038527388,6.0,4.147288270665544,0.6912147116623881,1,1,10,45.851859383411444,1.891962985587506,1.9999999999942293
20_74108,"Say ""X""",20,5,2,3,4,2,0.9182958340516041,2,3,0.4,0.0,1.0,3.3699347890257365,1.124407628991759,17.976515579223634,27.83071969383801,2.1518630451626253,0.8769744904172333,0.8769744904172333,0.8688465892128853,0.8851023916215813,0.011494588116817599,5.4,5.953150426454887,1.1024352639541577,1,1,16,100.0,1.891962985587506,1.9999999999942293
21_16875,"Say ""X""",21,5,1,3,4,3,1.499999999995672,1,4,0.2,0.0,1.0,1.9999999999999991,0.3928371006591931,3.422484588623047,7.652908192106536,0.3802760654025608,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,,2.4,2.8,1.1666666661805556,1,1,8,100.0,1.582537507350953,1.499999999995672
21_61721,"Say ""X""",21,5,1,3,4,3,1.499999999995672,1,4,0.2,0.0,1.0,1.9999999999999993,0.3928371006591931,3.752229309082032,8.390239802274492,0.41691436767578127,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,,2.4,2.8,1.1666666661805556,1,1,8,100.0,1.582537507350953,1.499999999995672
21_84338,"Say ""X""",21,5,2,3,3,2,0.9182958340516041,2,3,0.4,0.0,1.0,1.582537507350953,0.35812266047981645,9.423464012145995,16.673224381429097,1.3674817932976615,0.8896298530384421,0.8896298530384421,0.8348152616324397,0.9444444444444444,0.07751953858230826,5.2,5.6000000000000005,1.0769230767159763,1,1,15,100.0,1.582537507350953,1.499999999995672
22_11998,Semantic,22,5,2,3,5,4,1.9999999999942293,1,4,0.2,0.06,0.955,1.2258016722800589,0.6409472421888514,8.321559143066406,11.404596389947159,0.8768988418579102,0.8944444444444444,0.8944444444444444,0.8888888888888888,0.9,0.007856742013183912,4.2,3.9698866482558417,0.945211106502531,1,1,10,-6.236348389413076,1.6051814543546215,1.626466250644568
22_32893,"Say ""X""",22,5,1,3,4,3,1.499999999995672,1,4,0.2,0.0,1.0,1.9999999999999998,0.39283710065919303,9.337213134765625,20.87864328973984,1.0374681260850696,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,,2.4,2.8,1.1666666661805556,1,1,8,100.0,1.6051814543546215,1.626466250644568
22_74186,"Say ""X""",22,5,2,3,5,3,1.584962500716828,2,3,0.4,0.0,1.0,1.8581013090709966,0.4228371173750492,1.833859634399414,3.8096974483978245,0.18457031885782876,0.8944444444444445,0.8944444444444445,0.888888888888889,0.9,0.007856742013183834,3.6,3.1999999999999997,0.8888888886419752,1,1,8,100.0,1.6051814543546215,1.626466250644568
22_81571,"Say ""X""",22,5,1,3,4,3,1.499999999995672,1,4,0.2,0.0,1.0,1.9999999999999993,0.3928371006591931,5.49012336730957,12.276289054164243,0.6100137074788411,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,,2.4,2.8,1.1666666661805556,1,1,8,100.0,1.6051814543546215,1.626466250644568
7_24743,Semantic,7,5,3,3,3,3,1.3709505944503406,0,5,0.0,1.0,0.0,0.8476683043763078,0.926865139656796,7.143464279174805,6.770018078421099,1.1813222652011448,0.8420557182467575,0.8424759052924591,0.7836912494478138,0.8999999999999999,0.05815551376797988,5.0,3.521363372331802,0.7042726743255058,1,1,10,-100.0,0.8476683043763078,1.584962500716828
7_3144,Semantic,7,5,2,3,4,3,1.499999999995672,1,4,0.2,0.05,0.955,1.245943817193864,0.9763002157801032,6.670541000366211,9.292113880676103,1.4214904679192437,0.7960948285973471,0.7960948285973471,0.73257129995033,0.8596183572443643,0.0898358357424075,4.0,3.687817782917155,0.9219544454988001,1,1,9,-25.288223496177224,0.8476683043763078,1.584962500716828
7_89264,"Say ""X""",7,5,2,3,5,3,1.584962500716828,2,3,0.4,0.0,1.0,1.7968867555822179,0.43724191236737986,1.9566600799560547,3.9308918805553303,0.21557586457994252,0.8944444444444444,0.8944444444444444,0.8888888888888888,0.9,0.007856742013183912,3.6,3.1999999999999997,0.8888888886419752,1,1,8,100.0,0.8476683043763078,1.584962500716828
